#,Target,Residues,Type,Domains,Residues in domain,Classification,PDB
105,T0732,354,All groups,T0732-D2: 263-353,91,TBM-hard,5K71
106,T0733,390,Server only,T0733-D1: 3-390,388,TBM,4gqa
107,T0734,216,All groups,T0734-D1: 2-214,213,FM,4CSO
108,T0735,349,All groups,T0735-D1: 29-261,233,TBM-hard,4g2a
109,T0735,349,All groups,T0735-D2: 262-349,88,FM,4g2a
110,T0736,168,Server only,T0736-D1: 1-166,166,TBM,4l8p
111,T0737,292,All groups,T0737-D1: 176-292,117,FM,3td7
112,T0738,249,Server only,T0738-D1: 1-249,249,TBM,4is2
113,T0739,770,All groups,T0739-D1: 12-96,85,FM,4OJ5
114,T0739,770,All groups,T0739-D2: 97-154,58,FM,4OJ5
115,T0739,770,All groups,T0739-D3: 198-580,383,TBM-hard,4OJ5
116,T0739,770,All groups,T0739-D4: 581-769,189,TBM-hard,4OJ5
117,T0740,165,All groups,T0740-D1: 11-165,155,FM,-
118,T0741,181,All groups,T0741-D1: 46-181,136,FM,-
119,T0742,312,All groups,"T0742-D1: 56-72,76-101,109-149,153-264,269-294,300-312",235,TBM,4ghb
120,T0743,149,All groups,T0743-D1: 36-149,114,TBM,4hyz
121,T0744,329,All groups,T0744-D1: 4-328,325,TBM,2ymv
122,T0746,367,All groups,T0746-D1: 28-363,336,TBM,4gpv
123,T0747,121,Server only,"T0747-D9: 24-34,43-121",90,TBM,4g5a
124,T0749,449,Server only,T0749-D1: 35-446,412,TBM,4gl3
125,T0750,188,Server only,T0750-D1: 1-182,182,TBM,4S1P
126,T0752,156,Server only,T0752-D1: 2-149,148,TBM,4gb5
127,T0753,109,Server only,T0753-D1: 2-109,108,TBM,4goq
128,T0755,264,Server only,T0755-D1: 7-264,258,TBM,4h1x
129,T0756,179,Server only,T0756-D1: 3-93,91,TBM,4g6q
130,T0756,179,Server only,T0756-D2: 94-179,86,FM,4g6q
131,T0757,247,Server only,T0757-D1: 1-247,247,TBM,4gak
132,T0758,388,Server only,T0758-D1: 1-383,383,TBM,4RM7
,,,,,,,
