Target,# res,Domain definition,Classification,PDB
T0466,72,"D1: 18-33,36-50,55-84,98-108",TBM,2k5d
T0468,61,"D1: 12-18,24-27,32-51,66-73,87-108",TBM,2k5w
T0469,63,D1: 3-65,TBM,2k5e
T0470,89,D2: 126-214,TBM-HA,3djb
T0470,124,D1: 2-125,TBM-HA,
T0471,90,"D1: 2-23,28-46,55-57,63-77,83-101,114-118,122-128",TBM,2k4m
T0472,58,"D1: 3-51,102-110",TBM,2k49
T0472,45,"D2: 52-61,64-73,77-101",TBM-HA,
T0473,60,"D1: 2-29,36-67",TBM,2k53
T0474,41,D1: 9-49,TBM-HA,2k5j
T0475,118,D1: 2-119,TBM,2k54
T0476,87,D1: 2-88,FM/TBM,2k5c
T0477,242,D1: 1-242,TBM,3dkp
T0478,126,D1: 11-136,TBM,3d19
T0478,130,D2: 138-267,TBM,
T0479,122,D1: 8-129,TBM-HA,3dkz
T0480,30,D1: 19-48,TBM,2k4x
T0481,135,"D1: 5-68,75-106,114-152",TBM,3dka
T0482,67,"D1: 5-10,19-31,35-46,49-76,96-103",FM,2k4v
T0483,273,"D1: 13-31,40-293",TBM,3dls
T0485,207,D1: 7-213,TBM,3dlc
T0486,214,D1: 33-246,TBM-HA,2vx2
T0487,87,D4: 178-264,TBM,3dlb
T0487,147,D5: 320-466,TBM,
T0487,71,D3: 26-96,TBM,
T0487,137,"D2: 13-25,97-176,265-308",TBM,
T0487,194,"D1: 3-11,309-319,469-642",TBM,
T0488,86,D1: 3-88,TBM-HA,2vwr
T0489,237,D1: 17-253,TBM,3dl1
T0490,361,"D1: 5-189,193-368",TBM,3dme
T0491,96,D1: 1-96,TBM-HA,3dm4
T0492,69,"D1: 2-44,48-73",TBM,2k5l
T0493,157,"D1: 7-91,101-172",TBM,3dmn
T0494,345,D1: 33-377,TBM,2vx3
T0495,139,D1: 5-143,TBM,3dnx
T0496,120,D1: 4-123,FM,3do9
T0496,45,D2: 134-178,TBM,
T0497,124,"D1: 4-25,31-132",TBM,3dmb
T0498,45,D1: 8-52,TBM,2kdl
T0499,56,D1: 1-56,TBM-HA,2kdm
T0501,213,D1: 2-214,TBM,3dma
T0501,128,D2: 215-342,TBM,
T0502,93,"D1: 4-81,87-101",TBM,3dm3
T0503,144,D1: 2-145,TBM,3dn7
T0504,62,D1: 1-62,TBM,3dlm
T0504,90,"D2: 63-81,84-154",TBM,
T0504,53,D3: 156-208,TBM-HA,
T0505,159,"D1: 6-84,201-280",TBM-HA,3dnp
T0505,104,"D2: 86-121,132-199",TBM,
T0506,137,"D1: 25-94,97-155,165-172",TBM-HA,3dnh
T0506,78,D2: 177-254,TBM,
T0507,124,D1: 1-124,TBM,3do8
T0508,180,D1: 17-196,TBM-HA,3dou
T0509,209,D1: 5-213,TBM,3dr5
T0510,163,D1: 1-163,TBM,3doa
T0510,68,D2: 168-235,TBM,
T0510,44,D3: 236-279,FM,
T0511,249,D1: 2-250,TBM,3.00E+03
T0512,320,D1: 1-320,TBM,3dsm
T0513,69,D2: 17-85,FM,3dup
T0513,208,"D1: 3-13,87-283",TBM,
T0514,144,D1: 2-145,TBM,3dtd
