#,Target,Residues,Type,Domains,Residues in domain,Classification,Release,PDB
72,T0570,258,Server only,T0570-D1: 24-256,233,TBM,7/27/2010,3no3
73,T0571,344,Human/Server,T0571-D1: 32-196,165,FM/TBM,7/27/2010,3n91
74,T0571,344,Human/Server,T0571-D2: 197-331,135,FM,7/27/2010,3n91
75,T0572,93,Server only,T0572-D1: 8-93,86,TBM,7/14/2010,2kxy
76,T0573,311,Server only,"T0573-D1: 3-80,96-174,187-249,262-295",254,TBM,9/9/2010,3oox
77,T0574,126,Human/Server,T0574-D1: 25-126,102,TBM,7/1/2010,3nrf
78,T0575,216,Server only,T0575-D1: 1-63,63,TBM,9/9/2010,3nrg
79,T0575,216,Server only,"T0575-D2: 64-74,85-179,196-216",127,TBM,9/9/2010,3nrg
80,T0576,172,Human/Server,T0576-D1: 27-159,133,TBM,7/1/2010,3na2
81,T0577,116,Server only,-,Canceled,-,-,-
82,T0578,164,Human/Server,"T0578-D1: 9-56,64-163",148,FM,7/1/2010,3nat
83,T0579,124,Human/Server,"T0579-D1: 1-29,94-124",60,TBM,7/21/2010,2ky9
84,T0579,124,Human/Server,T0579-D2: 30-93,64,TBM,7/21/2010,2ky9
85,T0580,105,Human/Server,T0580-D1: 2-105,104,TBM,6/29/2010,3nbm
86,T0581,136,Human/Server,T0581-D1: 27-131,105,FM,6/29/2010,3npd
87,T0582,222,Human/Server,T0582-D1: 2-122,121,TBM,9/8/2010,3o14
88,T0582,222,Human/Server,T0582-D1: 2-122,121,TBM,9/8/2010,3o14
89,T0583,152,Server only,-,Canceled,-,-,-
90,T0584,352,Human/Server,T0584-D1: 4-341,338,TBM,8/4/2010,3nf2
91,T0585,234,Server only,"T0585-D1: 3-127,141-227",212,TBM,7/14/2010,3ne8
92,T0586,125,Human/Server,T0586-D1: 5-84,80,TBM,7/1/2010,3neu
93,T0586,125,Human/Server,T0586-D2: 85-123,39,TBM,7/1/2010,3neu
94,T0587,373,Server only,-,Canceled,-,-,-
95,T0588,400,Human/Server,T0588-D1: 20-400,381,TBM,7/27/2010,3nfv
96,T0589,465,Server only,"T0589-D1: 24-65,96-188,271-369",234,TBM,8/4/2010,3net
97,T0589,465,Server only,T0589-D2: 189-270,82,TBM,8/4/2010,3net
98,T0589,465,Server only,T0589-D3: 370-464,95,TBM,8/4/2010,3net
99,T0590,137,Human/Server,T0590-D1: 60-137,78,TBM,8/25/2010,2kzw
100,T0591,406,Server only,T0591-D1: 27-406,380,TBM,8/4/2010,3nra
101,T0592,144,Human/Server,T0592-D1: 2-138,137,TBM,7/12/2010,3nhv
102,T0593,208,Server only,T0593-D1: 1-195,195,TBM,8/10/2010,3ngw
103,T0594,140,Human/Server,T0594-D1: 1-140,140,TBM,7/12/2010,3ni8
104,T0595,123,Server only,-,Canceled,-,-,-
105,T0596,213,Human/Server,T0596-D1: 6-58,53,TBM,8/10/2010,3ni7
106,T0596,213,Human/Server,T0596-D2: 59-188,130,TBM,8/10/2010,3ni7
107,T0597,429,Server only,"T0597-D1: 18-274,287-378,383-423",390,TBM,7/13/2010,3nie
108,T0598,161,Human/Server,"T0598-D1: 7-83,89-125,138-150",127,TBM,7/13/2010,3njc
109,T0599,399,Server only,"T0599-D1: 10-99,113-182,186-392",367,TBM,8/31/2010,3os6
110,T0600,125,Server only,T0600-D1: 17-75,59,TBM,7/13/2010,3nja
111,T0600,125,Server only,T0600-D2: 76-122,47,TBM,7/13/2010,3nja
112,T0601,449,Server only,T0601-D1: 7-448,442,TBM,9/10/2010,3qtd
113,T0602,123,Human/Server,T0602-D1: 1-55,55,TBM,7/14/2010,3nkz
114,T0603,305,Server only,T0603-D1: 15-280,266,TBM,8/25/2010,3nkd
115,T0604,549,Human/Server,T0604-D1: 11-94,84,FM,8/18/2010,3nlc
116,T0604,549,Human/Server,"T0604-D2: 95-291,497-548",249,TBM,8/18/2010,3nlc
117,T0604,549,Human/Server,T0604-D3: 292-496,205,FM,8/18/2010,3nlc
118,T0605,72,Human/Server,T0605-D1: 18-66,49,TBM,9/8/2010,3nmd
119,T0606,169,Human/Server,T0606-D1: 49-168,120,TBM,7/20/2010,3noh
120,T0607,471,Server only,T0607-D1: 2-470,469,TBM,9/10/2010,3pfe
121,T0608,279,Human/Server,T0608-D1: 29-117,89,FM,9/9/2010,3nyy
122,T0608,279,Human/Server,T0608-D2: 118-278,161,TBM,9/9/2010,3nyy
123,T0609,340,Server only,T0609-D1: 6-340,335,TBM,9/10/2010,3os7
124,T0610,186,Human/Server,T0610-D1: 10-185,176,TBM,9/10/2010,3ot2
125,T0611,227,Server only,T0611-D1: 3-55,53,TBM,7/27/2010,3nnr
126,T0611,227,Server only,"T0611-D2: 56-169,179-213",149,TBM,7/27/2010,3nnr
127,T0612,129,Server only,"T0612-D1: 20-46,48-53,55-127",106,TBM,8/4/2010,3o0l
128,T0613,287,Server only,"T0613-D1: 5-130,137-285",275,TBM,8/18/2010,3obi
129,T0614,135,Human/Server,"T0614-D1: 2-12,23-34,51-66,74-79,86-111",71,TBM,8/5/2010,3voq
130,T0615,179,Server only,T0615-D1: 6-179,174,TBM,9/8/2010,3nqw
131,T0616,103,Human/Server,T0616-D1: 7-103,97,FM/TBM,9/23/2010,3nrt
132,T0617,148,Server only,T0617-D1: 13-148,136,TBM,7/23/2010,3nrv
133,T0618,182,Human/Server,T0618-D1: 6-175,170,FM,8/25/2010,3nrh
134,T0619,111,Human/Server,T0619-D1: 1-101,101,TBM,7/28/2010,3nrw
135,T0620,312,Server only,"T0620-D1: 3-164,179-312",296,TBM,7/28/2010,3nr8
136,T0621,172,Human/Server,T0621-D1: 2-170,169,FM,7/28/2010,3nkg
137,T0622,138,Human/Server,T0622-D1: 1-122,122,TBM,7/23/2010,3nkl
138,T0623,220,Server only,T0623-D1: 1-187,187,TBM,8/18/2010,3nkh
139,T0624,81,Human/Server,T0624-D1: 5-73,69,FM,7/30/2010,3nrl
140,T0625,233,Human/Server,T0625-D1: 10-230,221,TBM,9/10/2010,3oru
141,T0626,283,Server only,T0626-D1: 2-283,282,TBM,9/9/2010,3o1l
142,T0627,261,Human/Server,T0627-D1: 3-246,244,TBM,9/10/2010,3oql
143,T0628,295,Human/Server,"T0628-D1: 6-132,279-295",144,TBM,8/31/2010,3nuw
144,T0628,295,Human/Server,T0628-D2: 133-278,146,TBM,8/31/2010,3nuw
145,T0629,216,Human/Server,"T0629-D1: 1-49,209-216",57,TBM,8/2/2010,2xgf
146,T0629,216,Human/Server,T0629-D2: 50-208,159,FM,8/2/2010,2xgf
147,T0630,132,Human/Server,T0630-D1: 7-123,117,TBM,9/21/2010,2kyt
148,T0631,303,Human/Server,-,Canceled,-,-,-
149,T0632,168,Server only,"T0632-D1: 44-57,65-164",114,TBM,8/2/2010,3nwz
150,T0633,462,Human/Server,-,Canceled,-,-,-
151,T0634,140,Server only,"T0634-D1: 3-83,95-126",113,TBM,7/27/2010,3n53
152,T0635,191,Server only,T0635-D1: 10-170,161,TBM,7/21/2010,3n1u
153,T0636,336,Server only,T0636-D1: 17-334,318,TBM,9/10/2010,3p1t
154,T0637,146,Server only,T0637-D1: 1-135,135,FM,7/21/2010,2x3o
155,T0638,269,Server only,"T0638-D1: 1-51,63-260",249,TBM,8/4/2010,3nxh
156,T0639,128,Server only,T0639-D1: 3-126,124,FM,8/25/2010,3nym
157,T0640,250,Server only,"T0640-D1: 9-145,157-196,208-237",207,TBM,9/14/2010,3nyw
158,T0641,296,Server only,T0641-D1: 2-296,295,TBM,8/25/2010,3nyi
159,T0642,387,Server only,-,Canceled,-,-,-
160,T0643,83,Human/Server,T0643-D1: 7-79,73,TBM,8/12/2010,3nzl
,,,,,,,,
